Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
118804338	Too Many Magicians		Garrett, Randall											Paperback	8.43 inches	0.79 pounds	8.43 inches	0.73 inches	5.85 inches	8.43 x 5.85 x 0.73 inches																												
118847761	First In: An Insider's Account of How the CIA Spearheaded the War on Terror in Afghanistan		Schroen, Gary											Hardcover	400 p.; 9.36 inches	1.35 pounds	9.36 inches	1.3 inches	6.48 inches	9.36 x 6.48 x 1.3 inches																												
119008781	Finders Keepers: A Novel		King, Stephen											Hardcover	448 p.; 9.56 inches		9.5625 inches	1.5625 inches	6.5625 inches	9.5625 x 6.5625 x 1.5625 inches																												
119016065	Out on the Cutting Edge: A Matthew Scudder Crime Novel		Block, Lawrence											Paperback	6.8 inches	0.29 pounds	6.8 inches	0.8 inches	3.9 inches	6.8 x 3.9 x 0.8 inches																												
119100195	Consider Phlebas (Culture)		Banks, Iain M.											Paperback	544 p.; 5.5 inches	1.04 pounds	5.5 inches	8.5 inches	1.5 inches	5.5 x 1.5 x 8.5 inches																												
119182221	Report of the Warren commission on the Assassination of President Kennedy		Commision, Warren											Paperback	727 p.; 9.38 inches	0.75 pounds	9.375 inches	2.125 inches	6.1875 inches	9.375 x 6.1875 x 2.125 inches																												
119205095	Ross MacDonald : A Biography		Nolan, Tom											Hardcover	448 p.; 5.98 inches	1.7 pounds	5.98 inches	9.02 inches	1.25 inches	5.98 x 1.25 x 9.02 inches																												
119341736	Empire of Illusion: The End of Literacy and the Triumph of Spectacle		Hedges, Chris											Paperback	240 p.; 8.19 inches	0.53 pounds	8.1875 inches	0.6875 inches	5.5 inches	8.1875 x 5.5 x 0.6875 inches																												
119341843	The Eiger Sanction		Trevanian											Paperback	7 inches	1 pound	7 inches	1 inch	4.1875 inches	7 x 4.1875 x 1 inches																												
119343153	The Walking Dead Volume 23: Whispers Into Screams		Kirkman, Robert											Paperback	136 p.; 10.19 inches	0.57 pounds	10.1875 inches	0.25 inches	6.625 inches	10.1875 x 6.625 x 0.25 inches																												
119344118	Wages of Rebellion		Hedges, Chris											Hardcover	9.56 inches	0.92 pounds	9.5625 inches	1.0625 inches	6.5 inches	9.5625 x 6.5 x 1.0625 inches																												
119716448	Hacker, Hoaxer, Whistleblower, Spy: The Many Faces of Anonymous		Coleman, Gabriella											Unknown	464 p.; 9.56 inches	1.25 pounds	9.5625 inches	1.625 inches	6.625 inches	9.5625 x 6.625 x 1.625 inches																												
119718061	The Samurai Sword: A Handbook		Yumoto, John M.											Unknown	192 p.; 8.61 inches	0.99 pounds	8.61 inches	0.81 inches	6.2 inches	8.61 x 6.2 x 0.81 inches																												
119718294	Look homeward, angel: A story of the buried life (The Scribner library ; 9)		Wolfe, Thomas											Unknown	522 p.; 8 inches	1.2 pounds	8 inches	1.375 inches	5.3125 inches	8 x 5.3125 x 1.375 inches																												
119908682	What If?: Serious Scientific Answers to Absurd Hypothetical Questions		Munroe, Randall											Hardcover	320 p.; 9.31 inches	1.84 pounds	9.3125 inches	1.0625 inches	7.3125 inches	9.3125 x 7.3125 x 1.0625 inches																												
119908973	Make: Volume 46: Hack Your Ride		Babler, Jason											Paperback	116 p.; 10.8 inches	0.5 pounds	10.8 inches	0.1 inches	8.3 inches	10.8 x 8.3 x 0.1 inches																												
119994102	Pines (The Wayward Pines Series)		Crouch, Blake											Paperback	8.25 inches		8.25 inches	0.8125 inches	5.5 inches	8.25 x 5.5 x 0.8125 inches																												
119994103	Absolutely American: Four Years at West Point		Lipsky, David											Paperback	384 p.; 8 inches	0.79 pounds	8 inches	0.8125 inches	5.1875 inches	8 x 5.1875 x 0.8125 inches																												
120059634	MySQL (OTHER NEW RIDERS)		DuBois, Paul											Paperback	756 p.; 9.02 inches	4.41 pounds	9.02 inches	1.6 inches	7.02 inches	9.02 x 7.02 x 1.6 inches																												
120071900	Triple Jeopardy (Nero Wolfe)		Stout, Rex											Paperback	183 p.; 6.9 inches	0.2 pounds	6.9 inches	0.9 inches	4 inches	6.9 x 4 x 0.9 inches																												
120071921	Please Pass the Guilt: A Nero Wolfe Novel		Stout, Rex											Paperback	168 p.; 6.8 inches	0.25 pounds	6.8 inches	0.6 inches	4.2 inches	6.8 x 4.2 x 0.6 inches																												
120089320	Griftopia: A Story of Bankers, Politicians, and the Most Audacious Power Grab in American History		Taibbi, Matt											Paperback	320 p.; 8 inches	0.52 pounds	8 inches	0.75 inches	5.1875 inches	8 x 5.1875 x 0.75 inches																												
